#Galich

#owner = MOS
#controller = MOS
capital = "Galich"
culture = russian
religion = orthodox
trade_goods = salt
hre = no
base_tax = 4
base_production = 5 #Huge Salt Mine
base_manpower = 2
is_city = no
#add_core= MOS
discovered_by = high_american
discovered_by = high_american
discovered_by = GOL
#discovered_by = nomad_group


# = { unrest = 5 } # Shemyaka opposition
# = { discovered_by = SIB unrest = 0 } # fortified against Kazan tatars
# = {	#owner = RUS #controller = RUS #add_core= RUS remove_core = MOS }
# = { unrest = 5 base_manpower = 3 } # "Time of troubles", peasantry brought into serfdom
# = { unrest = 0 } # Order returned, Romanov dynasty
