#Eastern Jutland, incl. Aarhus, Djursland and Randers.

#owner = DAN
#controller = DAN
#add_core= DAN
culture = danish
religion = catholic
hre = no
base_tax = 1
base_production = 1
trade_goods = unknown
base_manpower = 1
capital = "Aarhus"
is_city = no
estate = estate_burghers
discovered_by = high_american
discovered_by = high_american
discovered_by = indian
discovered_by = indian


# = { revolt = { type = revolutionary_rebels size = 1 } #controller = REB } # 'Grevefejden'(Christofer of Oldenburg)
# = { revolt = {} #controller = DAN } # Liberated by Christian III
# = { religion = protestant }
# = {
	#controller = HAB
#}
# = {
	#controller = DAN
#}
# = { #controller = SWE } # Torstenssons War- Captured by Lennart Torstensson
# = { #controller = DAN } # The Peace of Brömsebro


native_size = 5
native_ferocity = 1
native_hostileness = 3
